id,username,fullname,emails,fbPage,externalUrl,biography,followedBy,follows,isPrivate,isVerified,isBusinessAccount,businessCategory,businessEmail,businessPhone,businessAddressStreet,businessAddressZipcode,businessAddressCity,businessAddressRegion,businessAddressCountryCode,hashtags
8427674210,gridironlondon,Gridiron,,,http://www.gridironlondon.com/,"A live-fire grill restaurant that celebrates seasonal, ethically sourced ingredients cooked over wood and charcoal @comometlondon.",611,19,0,0,1,Restaurants,reservations@gridironlondon.com,442074474115,19 Old Park Lane,W1K 1LB,"London, United Kingdom",,GB,londonrestaurant
434618156,piedaterrerestaurant,Pied à Terre,,,http://www.pied-a-terre.co.uk/,Michelin star restaurant in London serving elegant cuisine for 25 years. Head Chef @asimakis #piedaterrerestaurant,5722,71,0,0,1,Restaurants,reservations@pied-a-terre.co.uk,442076361178,34 Charlotte Street,W1T 2NH,"London, United Kingdom",,GB,londonrestaurant
4850548032,kibele.london,Kibele London,,,http://www.kibele.co.uk/,Kibele Restaurant & Bar / Located in the heart of Great Portland street / Turkish and Mediterranean Cuisine / Signature cocktails.       02074360600,1586,1824,0,0,1,Restaurants,reservation@kibelerestaurant.com,442074360600,175-177 Great Portland Street,W1W 5PJ,"London, United Kingdom",,GB,londonrestaurant
4519263957,lsqkitchen,Leicester Square Kitchen,,,http://bit.ly/2Apsj4e,An exquisite selection of contemporary Mexican and Peruvian small plates in the heart of London’s most iconic square #LeicesterSquareKitchen,2133,1348,0,0,1,Restaurants,socialmedia@leicestersquarekitchen.co.uk,,31-36 Leicester Square,WC2H 7LH,"London, United Kingdom",,GB,londonrestaurants
1288417481,testirestaurant,Testi,,,https://www.testirestaurant.co.uk/booking,"‘Most Highly Recommended Kebab Restaurant in North & West London’ 2018 🏆
Where the Meat lovers 🍖 and the Veggies🌱 UNITE!
Monday-Sunday: 12pm - 1am",4111,427,0,0,1,Restaurants,huseyin.u@hotmail.co.uk,442072497151,38 Stoke Newington High Street,N16 7PL,"London, United Kingdom",,GB,londonrestaurants
5814890502,theotheristbar,The Otherist,,,http://www.theotheristbar.co.uk/,"All-day dining bar & restaurant in the heart of the City in Old Broad Street. Cocktails, craft beer & wine and gorgeous food. Open Monday to Friday.",255,456,0,0,1,Restaurants,info@theotherist.co.uk,442076389308,111 Old Broad Street,EC2N 1AP,"London, United Kingdom",,GB,londonrestaurants
8006360336,mimiscafebistro,Mimi's Cafe & Bistro,,,https://mimiscafebistro.co.uk/,"A French & Mediterranean inspired Café & Bistro serving fresh seasonal dishes. 🍽🍹
Located in Muswell Hill 
Twitter: @MimiBistro",151,73,0,0,1,Restaurants,hello@mimislondon.co.uk,,138 Fortis Green Rd,N10 3DU,"London, United Kingdom",,GB,londonrestaurants
379210831,ametsaarzak,Ametsa with Arzak Instruction,,,http://comohotels.com/thehalkin/dining/ametsa,Ametsa with Arzak Instruction at COMO The Halkin is a modern Spanish restaurant in London's Belgravia district.,4283,1548,0,0,1,Restaurants,ametsa.thehalkin@comohotels.com,442073331234,5 Halkin St,SW1X 7DJ,"London, United Kingdom",,GB,londonrestaurants
357042870,bigmoesdiner,• Big Moe's Diner •,,,http://bigmoesdiner.co.uk/,"The Authentic 50’s American Diner 
• Breakfast 🥞 • Lunch 🍔 • Dinner 🍽
🇬🇧 Branches in Beckton, Aldgate and Wembley",8225,762,0,0,1,Restaurants,info@bigmoesdiner.co.uk,442030267420,"Unit 96, Level 2 London Designer Outlet",HA90FD,"Wembley, Brent, United Kingdom",,GB,londonrestaurants
1400472210,zeyaras,ZEYARA,,,http://www.zeyara.co.uk/,"‪• OPENING HOURS •‬
Sunday - Thursday: 4pm till 12.30am
Friday - Saturday: 4pm till 2am",14769,4590,0,0,1,Restaurants,info@zeyara.co.uk,442085513363,36 Woodford Avenue,IG2 6X,"Ilford, Redbridge, United Kingdom",,GB,londonrestaurants
2136887421,clerkenwellsoc,Clerkenwell & Social,,,https://www.clerkenwellandsocial.com/,"🍸 Cocktail Bar in Farringdon
🍸2 Floors & a Terrace 
🍸Specialised Infused Spirits 
🍸Pizzas & Private hire",769,471,0,0,1,Restaurants,info@clerkenwellandsocial.com,442076082117,2-5 St Johns Square,EC1M 4DE,"London, United Kingdom",,GB,londonfood
1182143188,novarestaurant,Nova Heswall,,,http://www.novarestaurant.co.uk/,"English restaurant with modern twist. 
Call 0151-342-9959 to book",5875,310,0,0,1,Restaurants,info@novarestaurant.co.uk,441513429959,68 Pensby Road,CH60 7RE,Heswall,,GB,ukfood
8500359580,tribeca_huddersfield,Tribeca Huddersfield,,,https://tribecahuddersfield.co.uk/,"Gourmet Burger, Champagne & Gin Bar in Westgate, Huddersfield. Share your TriBeCa experience and tag @tribecca_huddersfield #tribeccahudds 🍔 🥂 🍸",62,16,0,0,1,Restaurants,info@tribecahuddersfield.co.uk,,26 Westgate,HD11ND,Huddersfield,,GB,ukfood
7330795164,japes_uk,Japes,,,http://www.japes.uk/,"New place in Soho! 📣
milkshakes • hardshakes • cocktails • coffee 🍹🍸🍻🍷☕
Delicious, mouthwatering homemade #Waffles & #Crepes
Taste the joy!",1659,670,0,0,1,Restaurants,contact@japes.uk,,22-25 Dean Street,W1D 3RY,"London, United Kingdom",,GB,ukfood
2076830625,freshmexuk,FreshMex,,,http://www.freshmex.co.uk/,"Award-winning TexMex street food
🌯 🌮 🍔 🍟 🥑 🍅 🌶 
📍FreshMex, 55 Schoolhill, Aberdeen
🍻Food Residency @theadams_aberdeen
🚴 @deliveroo
Est. 2015",2313,48,0,0,1,Restaurants,info@freshmex.co.uk,447468417000,55 Schoolhill,AB10 1JT,Aberdeen,,GB,ukfood
2339327348,mpwislington,Marco Pierre White Islington,,,http://www.mpwrestaurants.co.uk/islington,,123,181,0,0,1,Restaurants,info@mpwsteakhouseislington.com,442072825300,60 Pentonville Road,N1 9LA,"London, United Kingdom",,GB,londonfood
6760993788,stagnw3,The Stag - Belsize Park,,,http://www.thestagnw3.com/,"North London pub with 24 taps of beer, seasonal fresh food, private room, roof terrace, a great beer garden. Older bro’ of @themallw8 #londonpub",647,582,0,0,1,Restaurants,thestag@londonpubs.com,442077222646,67 Fleet Road,NW3 2QU,"London, United Kingdom",,GB,londonfood
537602266,eightovereight,Eight Over Eight,,,http://www.rickerrestaurants.com/eight-over-eight/,Chic Pan-Asian restaurant on Kings Road • Tag us #eightovereight,2742,508,0,0,1,Restaurants,eightovereight@rickerrestaurants.com,442073499934,392 Kings Road,SW3 5UZ,"London, United Kingdom",,GB,londonfood
6167417975,proseccohouse,Prosecco House,jennifer@jamspr.com,,https://www.designmynight.com/london/bars/central-london/prosecco-house/meet-the-maker-series-1?t=tickets,"🍾LONDON’S FIRST PROSECCO BAR. 
🗞Media enquiries - @jams_pr 
📧jennifer@jamspr.com
📱Social media - @we.are.memo 
🥂Meet The Maker tickets below! 🥂",4112,2584,0,0,1,Restaurants,info@proseccohouse.com,442030341718,"Prosecco House, One Tower Bridge, 1 Crown Square",SE1 2SE,"London, United Kingdom",,GB,ukfood
2261403057,farmyardrestaurant,Farmyard Restaurant,,,https://www.farmyardrestaurant.com/,Norwich based 'Bistronomy' style eatery; A mash up of a relaxed 'bistro' but using the same high quality produce as top notch fine dining gaffs.,2358,1106,0,0,1,Restaurants,andrew@farmyardrestaurant.com,441603733188,23 st benedicts street,NR2 4PF,"Norwich, Norfolk",,GB,ukfood
339316189,bar_remo,Bar Remo,,,http://barremo.me/,"Family-run by the Vignali family for over 90 years, we pride ourselves on a warm and friendly welcome to all of our customers",853,1656,0,0,1,Restaurants,barremo1@me.com,447711068669,Bar Remo 2 princes street London ,W1b2lb,"London, United Kingdom",,GB,londonfood
1538399243,tsunami_restaurants,Tsunami Japanese Restaurant,clapham@tsunamirestaurant.co.uk,,http://www.tsunamiclapham.co.uk/,"🥢Japanese restaurant and cocktail bar
✉️clapham@tsunamirestaurant.co.uk
📞 Phone: 020 7978 1610 🚘 Delivery: 020 7720 2922
📷 Tag us @tsunami_restaurants",1596,568,0,0,1,Restaurants,clapham@tsunamirestaurant.co.uk,442079781610,5-7 Voltaire Road,SW4 6DQ,"London, United Kingdom",,GB,londonfood
1258482927,stokehouse,Stoke House,,,http://www.thestokehouse.com/,Cocktails | Smoked Meat | Feasting Menus | Sunday Roast | Lounge Bar | Terrace.,6182,545,0,0,1,Restaurants,sam@rickerrestaurants.com,442076301020,"Nova Building 81, Buckingham Palace Rd, SW1W 0AJ",SW10 0,"London, United Kingdom",,GB,londonfood
2279718767,casamanolouk,🐖 Casa Manolo,,,http://bit.ly/CMJobOpportunity,"Iberian ham, tapas & wines shop/restaurant in #London
📍Putney 
📍Clapham Junction
📍Angel
📍Strand
📍Chelsea
Share with #LoveCasaManolo to get featured!",8182,1633,0,0,1,Restaurants,info@casa-manolo.co.uk,442073521215,Shop and restaurant addresses on: www.casa-manolo.co.uk,SW3 5EB,"London, United Kingdom",,GB,londonfood
6215289640,dapperdoghotdogs,Dapper Dogs - Gourmet Hot Dogs,,,http://www.dapperdoghotdogs.com/,"🌭 Higher-Welfare Gourmet Sausages 
😎 Quality Toppings & Artisan Buns
🌎 Inspired by Global Cuisines
🌱 Handmade Vegan Dogs 
☝️ Follow us / Hire us🇬🇧",1036,499,0,0,1,Restaurants,info@dapperdoghotdogs.com,447557077157,"Private Events, Street Food Markets, Festivals and in and around",AL12AY,"London, United Kingdom",,GB,ukfood
5749807299,rumpusburger,Rumpus,,,http://rumpusburgers.co.uk/,"Artisan burger Restaurant using local longhorn cattle reared on our own farm right here in Slaithwaite, West Yorkshire",2173,997,0,0,1,Restaurants,hello@rumpusburgers.co.uk,441484841979,7 Church Street,HD7 5AS,Slaithwaite,,GB,ukfood
4186124882,theploughlangley,The Plough Langley,,,http://www.theploughlangley.co.uk/,"Gastro pub nestled in the heart of Kent. Owned by prestigious chef David Marshall, serving the finest quality locally sourced fresh produce.",209,160,0,0,1,Restaurants,theploughlangley@gmail.com,441622842555,Sutton Road,ME17 3LX,"Maidstone, Kent",,GB,ukfood
2274277582,elmparktavern,The Elm Park Tavern,,,http://www.elmparktavern.co.uk/,"Cosy neighbourhood pub. Great food, brilliant drinks and massive smiles 🍺🔥🍻
Sibling pub of @thekingandco",450,62,0,0,1,Restaurants,hello@elmparktavern.co.uk,442086719823,76 Elm Park,SW2 2UB,"London, United Kingdom",,GB,londonfood
6439262168,the_pizza_room_surrey_quays,ThePizzaRoomSurreyQuays,,,http://www.thepizzaroom.co.uk/,Fb: The Pizza Room Surrey Quays,195,699,0,0,1,Restaurants,info@thepizzaroom.co.uk,447462114471,235-237 Lower Road,SE162LW,"London, United Kingdom",,GB,londonfood
1310609277,brunswickhse,Brunswick House,,,http://www.brunswickhouse.london/,All day produce-led Modern British restaurant in the crumbling glamour of an antique filled 18th Century mansion in Central London🍴#brunswickhouse,5925,2631,0,0,1,Restaurants,restaurant@brunswickhouse.london,442077202926,30 Wandsworth Road,SW8 2LG,"London, United Kingdom",,GB,londonfood
1695482730,michaelnadra,MICHAEL NADRA,,,http://restaurant-michaelnadra.co.uk/,"• Delicious dining in Primrose Hill & Chiswick
• Vegan friendly 🎄Taking Xmas bookings
🍴Book online ↓",848,773,0,0,1,Restaurants,primrose@restaurant-michaelnadra.co.uk,442077222800,"42 Gloucester Ave, Primrose Hill",NW1 8JD,"London, United Kingdom",,GB,londonfood
5576875822,thegatsby_restaurant,The Gatsby Bar & Restaurant,,,http://bit.ly/TheGatsbyCompetition,Enter to win a meal for 4 at The Gatsby 👇,3683,7330,0,0,1,Restaurants,thegatsby@live.co.uk,441442870403,97 High Street,HP4 2DG,"Berkhamsted, Hertfordshire",,GB,londonrestaurants
5866631979,aleppogrill,Aleppo Grill,,,http://www.aleppogrill.co.uk/,Taste of the Authentic Mediterranean cuisine in London with typical Syrian and Lebanese food at Aleppo Grill.,1024,112,0,0,1,Restaurants,info@aleppogrill.co.uk,442084518818,18F High Road,NW10 2QD,"London, United Kingdom",,GB,londonrestaurants
1808192739,theroseldn,The Rose Public House,,,https://bit.ly/2wQ2Wqf,"Award winning independent neighbourhood pub. Home of the truffle burger and the best parmos in London.  
🌱Vegan friendly 
🎄Xmas booking 👇🏻",282,261,0,0,1,Restaurants,info@therosepublichouse.co.uk,442074030168,123 Snowsfields,SE1 3ST,"London, United Kingdom",,GB,londonfood
4553498895,lovechikn,CHIK'N,,,http://chikn.com/,"🍗 Tasty chicken, good vibes
🏅 Time Out + Foodism best lists
💥 Banging sides and craft beers
📍 Baker Street. Open 7 days, 11am-late.",16052,2939,0,0,1,Restaurants,hello@chikn.com,,134 Baker Street,W1U 6SH,"London, United Kingdom",,GB,londonrestaurants
450266440,tibits_uk,tibits UK,,,https://bit.ly/2kUtznw,"🇬🇧 Tibits UK
🌱 Plant-based // Vegetarian // Vegan
💚 Food that loves you back",5306,753,0,0,1,Restaurants,info@tibits.co.uk,442077584110,12-14 Heddon Street,W1B 4DA,"London, United Kingdom",,GB,londonrestaurants
2130440845,_littlesocial,Little Social,,,http://www.littlesocial.co.uk/,The best of British produce with a nod towards France. #JasonAtherton #restaurant in #Mayfair. #littlesocial,2987,62,0,0,1,Restaurants,reservations@littlesocial.co.uk,442078703730,5 Pollen Street,W1S 1PL,"London, United Kingdom",,GB,londonrestaurants
1506568339,pollen_street_social,Pollen Street Social,,,https://www.waterstones.com/win/pollen-street-prize-draw,"1 Michelin Star, 5 AA Rosettes, 9/10 Good Food Guide. Deformalised fine dining in Mayfair by @_jasonatherton",28457,875,0,0,1,Restaurants,reservations@pollenstreetsocial.com,442072907600,8-13 Pollen Street,W1S 1NA,"London, United Kingdom",,GB,londonrestaurants
1768968847,com_viet,Com Viet,,,http://www.comviet.co.uk/,All you need to know about Vietnamese Foods,217,299,0,0,1,Restaurants,info@comviet.co.uk,442074972779,2-4 Garrick Street,WC2E 9BH,"London, United Kingdom",,GB,londonrestaurants
8443082989,farzilondon,Farzi Café London,,,http://www.farzicafe.com/,Sensory and traditional Indian fine dining restaurant fused with the futuristic | Coming soon.,146,156,0,0,1,Restaurants,farzicafe@massiverestaurants.com,,8 Haymarket,SW1Y 4BP,"London, United Kingdom",,GB,londonrestaurants
6041260513,carobtreerestaurant,Carob Tree Restaurant,,,http://www.carobtreerestaurant.com/,"A contemporary dining place in Swains Lane, #London Offers wide selection of #Mediterranean cuisine. #Hampstead #Archway #KentishTown #Camden",436,1928,0,0,1,Restaurants,info@carobtreerestaurant.com,442072679880,15 Highgate Road,NW5 1QX,"London, United Kingdom",,GB,londonfood
7564228682,camden_lkf,Camden Lan Kwai Fong,,,,East Asia Kitchen & Bar | Digital Pong & Karaoke,389,112,0,0,1,Restaurants,camdenlkf@gmail.com,442074850588,27-28 Chalk Farm Road,NW1 8AG,"London, United Kingdom",,GB,londonfood
8310340407,mos_eggs,Mo's Eggs Pop-up,,,https://www.moseggs.co.uk/,From Damascus to London. Mohammed brings a #Syrian flavour to #brunch 🍳 Next pop up: Sunday 11 Nov / 9 Dec / 20 Jan BUY YOUR TICKETS HERE👇,684,470,0,0,1,Restaurants,moseggs@gmail.com,,,N19 5HU,"London, United Kingdom",,GB,londonrestaurants
9026124389,themeetlondon,The Meet,,,http://www.the-meet.co.uk/,"Clapham’s first vegan pop up, serving up indulgent, plant-based comfort food & exclusively vegan cocktails.",674,178,0,0,1,Restaurants,hello@the-meet.co.uk,442033977475,15-16 Lendal Terrace,SW4 7UX,"London, United Kingdom",,GB,londonrestaurants
6981917612,chokhidhanilondon,Chokhi Dhani London,,,https://www.opentable.co.uk/r/chokhi-dhani-london,"Fine contemporary food, inspired by the flavours and dishes of the subcontinent",976,445,0,0,1,Restaurants,info@chokhidhani.co.uk,442037959000,"2 Riverlight Quay, Nine Elms Lane",SW11 8AW,"London, United Kingdom",,GB,londonrestaurants
8535990422,gammagammasoho,gammagammasoho,,,http://www.gammagamma.co.uk/,Gamma Gamma celebrates the flavour and colour of Asia and beyond. A unique tapas experience.,738,992,0,0,1,Restaurants,contactus@gammagamma.co.uk,442072873033,6 Greek Street Soho,w1d 4de,"London, United Kingdom",,GB,londonrestaurants
3226334261,laffairelondon,L'Affaire,,,https://www.laffairelondon.com/reservation.html,"Cocktail Bar | Brasserie | Party Venue | Beer Garden
Christmas & New Year party —> Book Now.
📍 Wandsworth, London
#laffairelondon",285,119,0,0,1,Restaurants,hello@laffairelondon.com,442086165510,134 Wandsworth High Street,SW18 4JP,"Wandsworth, Wandsworth, United Kingdom",,GB,londonrestaurants
8144400527,zelalondon,ZELA London,,,http://www.zelalondon.com/,"🦋 Where Japan meets the Mediterranean 🦋
ZELA is the acclaimed restaurant, founder of the #MEPPONcuisine
📍 336-337 Strand, London WC2R 1HA",26550,48,0,0,1,Restaurants,info.london@zelarestaurants.com,442080893981,336-337 Strand,WC2R 1HA,"London, United Kingdom",,GB,londonrestaurants
3165000910,lepetitsud,Le petit Sud,"events@lepetitsud.co.uk
info@lepetitsud.co.uk",,http://www.lepetitsud.co.uk/,"French Bistro & Wine Bar
1 Palace Gate, W8 5LS, London
📞02075890030📧info@lepetitsud.co.uk
Events & private hire enquiries: events@lepetitsud.co.uk",3655,7501,0,0,1,Restaurants,info@lepetitsud.co.uk,442075890030,1 Palace Gate,W8 5LS,"London, United Kingdom",,GB,londonrestaurants
4247664139,hankies_cafe,Hankies Roomali and Grill Cafe,,,http://www.hankies.cafe/,Indian street food restaurant serving Indian tapas and specialising in Roomali Roti. A rare gem of a restaurant on Shaftesbury Avenue 🍴🔥,2097,1010,0,0,1,Restaurants,ishita@ishita.co.uk,442078716021,67 Shaftesbury Avenue,W1D 6EX,"London, United Kingdom",,GB,londonrestaurants
8005451945,caractererestaurant,Caractère,,,http://caractererestaurant.com/,Diego Ferrari & Emily Roux,1537,81,0,0,1,Restaurants,contact@caractererestaurant.com,,209 Westbourne Park Road/ 163 Ledbury Road,W11 1EA,"London, United Kingdom",,GB,londonrestaurants
3055385415,bala_baya,Bala Baya,,,https://balabaya.co.uk/,Follow the camel & experience chef @erantibi's poem to Tel Aviv 💖🐪🌴,9041,3562,0,0,1,Restaurants,bookings@balabaya.co.uk,442080017015,"Arch 25, Old Union Yard Arches, 229 Union Street",SE1 0LR,"London, United Kingdom",,GB,londonrestaurants
4050282180,thecliftonnw8,The Clifton NW8,,,http://www.thecliftonnw8.com/,A hidden gem serving up seasonally inspired food and drink in a lovingly restored local pub. Winner Time Out Love Local 2018!,1026,355,0,0,1,Restaurants,info@thecliftonnw8.com,442076255010,96 Clifton Hill,NW8 0JT,"London, United Kingdom",,GB,londonrestaurants
4208995069,murgerhanhan,Noodles + RouJiaMo from Xi’an,,,https://www.independent.co.uk/life-style/food-and-drink/london-restaurants-12foot-noodles-a8285681.html,"⛩#London’s 1st #Xian Restaurant
🍜12ft #HandPulled #Noodles
🍔#RouJiaMo world's OLDEST #burger!
💥Rec. by @foodnetworkuk @timeoutlondon @londonist_com &",3616,2642,0,0,1,Restaurants,info@murgerhan.com,442077340300,8A Sackville Street,W1S 3DF,"London, United Kingdom",,GB,londonrestaurants
1470495782,ishtarlondon,Ishtar Restaurant,reservation@ishtarrestaurant.com,,http://www.ishtarrestaurant.com/,"Modern Turkish Restaurant & Bar
02072242446 reservation@ishtarrestaurant.com",1035,36,0,0,1,Restaurants,reservation@ishtarrestaurant.com,442072242446,10-12 crawford street,W1U 6AZ,"London, United Kingdom",,GB,londonrestaurants
3087216836,belvederew8,The Belvedere in Holland Park,,,http://belvedererestaurant.us15.list-manage.com/subscribe?id=07eb9c3208&u=d34f04df7f836b217c5d310f1,"Beautiful 1920's Art Deco Restaurant in Holland Park. Available for part and exclusive hire. Weddings, Birthdays and Corporate Events.",281,896,0,0,1,Restaurants,manager@belvedererestaurant.co.uk,442076021238,Off Abbotsbury Road,W8 6LU,"London, United Kingdom",,GB,londonrestaurants
1394697805,bobosocial,BOBO Social,,,http://www.bobosocial.com/,Restaurant and cocktail bar,2842,1033,0,0,1,Restaurants,enquiries@bobosocial.com,442076369310,95 Charlotte Street,W1T 4PZ,"London, United Kingdom",,GB,londonrestaurants
8274877949,angelina.dalston,Angelina,,,,"A Nonna and Baba walked into a bar...and opened a restaurant in East London.
Introducing Angelina
Opening early 2019
#angelinadalston",39,0,0,0,1,Restaurants,info@angelina.london,,56 Dalston Lane,E8 3AH,"London, United Kingdom",,GB,londonrestaurants
3647747064,karavaslondon,Karavas Restaurant,,,http://www.karavasrestaurant.co.uk/,"Home of authentic Greek & Mediterranean food
Est 1978 ☀🌴🌊 Camden",2214,2831,0,0,1,Restaurants,karavaslondon@gmail.com,442073884121,87-88 Plender Street,NW1 0JN,"London, United Kingdom",,GB,londonrestaurants
221641565,caminolondon,Camino,,,https://camino.uk.com/events/,The home of Spanish tapas in London,6021,982,0,0,1,Restaurants,info@camino.uk.com,442078417330,,,"London, United Kingdom",,GB,londonrestaurants
1524823928,hookcamden,Hook Camden Town,,,http://www.hookrestaurants.com/,Fresh and sustainable creative fish and chips. For bookings call 02074820475,6452,697,0,0,1,Restaurants,cairene@hookrestaurants.com,,Camden,NW17PP,"London, United Kingdom",,GB,londonrestaurants
1504618735,yuhoki,Japanese Sushi Restauarant,,,http://www.yuhoki.co.uk/,"🥢Fresh Authentic Japanese food 
🍣From a 5🌟 Hotel Chef 
🥢South Quay Canary Wharf - E14 9FE. 
🍜Call 0207 005 0085 for FREE delivery!",1740,1096,0,0,1,Restaurants,info@yuhoki.co.uk,442070050085,"Unit 1, 115 Meridian Place",E14 9FE,"London, United Kingdom",,GB,londonrestaurants
5545171152,wakalondon,Waka London,,,http://www.waka-uk.com/,"🇯🇵JAPANESE PERUVIAN KITCHEN 🇵🇪
Freshly Made Nikkei Food to Go
SUSHI - HOT BOWL - BENTO
Mon-Fri: 11am to 4pm
#GOWAKA 😋",604,331,0,0,1,Restaurants,contact@waka-uk.com,,"White City Place, 191 Wood Lane",W12 7FP,"London, United Kingdom",,GB,londonrestaurants
2266755290,casa_malevo,Casa Malevo,,,http://www.casamalevo.com/,Casa Malevo is an Argentinian Restaurant located in the heart Connaught Village.,333,574,0,0,1,Restaurants,info@casamalevo.com,442074021988,23 Connaught Street,W2 2AY,"London, United Kingdom",,GB,londonrestaurants
372173631,bistrotheque,Bistrotheque,,,http://www.bistrotheque.com/,"Restaurant, bar & private dining room open for dinner, weekend & bank holiday brunch, cocktails, wine & #fruitsdemarestreet seafood menu on Thursdays.",7919,353,0,0,1,Restaurants,reception@bistrotheque.com,442089837900,23-27 Wadeson St,E2 9DR,"London, United Kingdom",,GB,londonrestaurants
2948569693,ulilondon,ULI,,,http://ulilondon.com/,"Honest, clean, traditional Asian cooking",660,123,0,0,1,Restaurants,contact@ulilondon.com,442031415878,5 Ladbroke Road,W11,"London, United Kingdom",,GB,londonrestaurants
9032644645,norrisbarlondon,Norris’s Cafe Bar Restaurant,,,http://www.norrislondon.com/,"Norris’s offers Italian cuisine daily, providing the perfect location for meetings over coffee, a catch-up with friends or a date with someone special",201,887,0,0,1,Restaurants,pr@norrislondon.com,442079309907,3 Norris Street,Sw1y 4rn,"London, United Kingdom",,GB,londonrestaurants
3261904838,pisqulondon,PISQU,reservations@pisqulondon.com,,http://www.pisqulondon.com/,"Award-winning #Peruvian restaurant in Fitzrovia
Best #Piscosour in London.
reservations@pisqulondon.com",1427,985,0,0,1,Restaurants,reservations@pisqulondon.com,442074366123,23 Rathbone Place,W1T 1HZ,"London, United Kingdom",,GB,londonrestaurants
4621770699,elvet_steakhouse_london,ELVET STEAKHOUSE®,,,http://www.elvetsteakhouse.co.uk/bookings/,The Architect of Premium Argentine Beef & Fine Fish in the Heart of East London. Our Dry Bar Features Non-Alcoholic Cocktails🍸🍹 #elvetsteakhouse,5097,529,0,0,1,Restaurants,info@elvetsteakhouse.co.uk,442036019692,392 Romford Road,E7 8DF,"London, United Kingdom",,GB,londonrestaurants
